algo,wg_a,wg_b,mean_rel_diff_%,max_rel_diff_%
find,wg32,wg64,4.238496657650722,43.73661245128906
find,wg32,wg128,22.1612244110828,86.44545223170707
find,wg32,wg256,22.208005627286646,80.53914342309135
find,wg32,wg512,13.396319924125237,59.08837060892527
find,wg32,wg1024,8.312614020951425,42.113605978417034
find,wg64,wg128,24.13300605068833,82.12597175947961
find,wg64,wg256,20.720220299140514,79.72820651661894
find,wg64,wg512,15.629751799258058,60.21583965703531
find,wg64,wg1024,10.033255191185905,44.086854929515816
find,wg128,wg256,19.79049027564946,78.58008576844107
find,wg128,wg512,18.953573287767867,80.73325256987404
find,wg128,wg1024,20.236283148831035,85.940258944045
find,wg256,wg512,12.441744855320268,51.03490992175214
find,wg256,wg1024,22.681381984648056,98.04039590047402
find,wg512,wg1024,14.885162946376166,80.9229186930676
for_each,wg32,wg64,3.782302107749381,21.65328166268134
for_each,wg32,wg128,11.439078412971103,33.88921658284345
for_each,wg32,wg256,3.9338876325876657,17.132144227392285
for_each,wg32,wg512,7.555043339255921,37.28372465250285
for_each,wg32,wg1024,4.345888725606185,17.892785967419886
for_each,wg64,wg128,10.099063833333307,34.167993425750495
for_each,wg64,wg256,5.907538164346922,27.11377334567775
for_each,wg64,wg512,6.1151809420158525,49.074493722085926
for_each,wg64,wg1024,5.601678577674208,28.628792805029384
for_each,wg128,wg256,13.313042381848524,33.56550205548074
for_each,wg128,wg512,12.766648273177035,32.9366444026579
for_each,wg128,wg1024,13.675553633070901,33.21765181767183
for_each,wg256,wg512,10.598392712145603,48.98150343735855
for_each,wg256,wg1024,1.6264205231020215,11.505152715822035
for_each,wg512,wg1024,9.620734538429636,50.49468763723477
inclusive_scan,wg32,wg64,7.966319401769472,96.66960332096676
inclusive_scan,wg32,wg128,7.320046504811483,100.36121644227198
inclusive_scan,wg32,wg256,5.004976472061594,70.19553448273376
inclusive_scan,wg32,wg512,5.879513851887051,88.3573478204359
inclusive_scan,wg32,wg1024,7.311239315299099,87.80610550400547
inclusive_scan,wg64,wg128,2.653836608176188,13.224440504940965
inclusive_scan,wg64,wg256,7.0292289228119875,31.882807343486448
inclusive_scan,wg64,wg512,4.118053916339025,31.756679249679067
inclusive_scan,wg64,wg1024,2.970587926076659,11.702676739226565
inclusive_scan,wg128,wg256,5.975744143964681,36.61429084764487
inclusive_scan,wg128,wg512,3.411590146670481,30.814892213530054
inclusive_scan,wg128,wg1024,3.1254869724207035,21.9698178630243
inclusive_scan,wg256,wg512,4.010957784838935,21.494727320274333
inclusive_scan,wg256,wg1024,5.3723076603302395,28.78597679232745
inclusive_scan,wg512,wg1024,3.406984133879363,31.89248344716735
reduce,wg32,wg64,35.17892392249771,69.27122446979993
reduce,wg32,wg128,36.10464969143646,78.23746486547847
reduce,wg32,wg256,36.01059545719211,75.50715119610496
reduce,wg32,wg512,36.23079239096442,75.85388067943248
reduce,wg32,wg1024,37.01685594587554,73.95197893784093
reduce,wg64,wg128,3.7694429618155123,24.140958735466818
reduce,wg64,wg256,5.490325372530742,43.33331259863495
reduce,wg64,wg512,4.977818264995969,18.238539717172873
reduce,wg64,wg1024,4.597761614538359,19.18879495027
reduce,wg128,wg256,4.6716278615246365,39.491170372356926
reduce,wg128,wg512,3.7628100500550343,15.35715262509965
reduce,wg128,wg1024,4.425790079537254,17.311055029932984
reduce,wg256,wg512,3.3357836108715344,32.08423964849679
reduce,wg256,wg1024,4.476993640666662,43.21007871129767
reduce,wg512,wg1024,3.1158478417151207,14.402094061985855
sort,wg32,wg64,3.145204634172408,24.644508675367028
sort,wg32,wg128,6.209225772706291,29.68241414473885
sort,wg32,wg256,4.354420253816186,14.92461647791305
sort,wg32,wg512,3.7088070441383234,17.222284992749966
sort,wg32,wg1024,4.523201770204522,17.447641642878978
sort,wg64,wg128,7.429918684367769,28.160298981544322
sort,wg64,wg256,4.433347341092985,20.81934319111492
sort,wg64,wg512,4.63513402915751,22.43978720471115
sort,wg64,wg1024,5.0855704994085364,22.10365088812491
sort,wg128,wg256,5.269386883484761,26.216170535998344
sort,wg128,wg512,4.529692820505799,26.988258697561875
sort,wg128,wg1024,5.425502887479553,26.58661098594276
sort,wg256,wg512,1.5009475827056398,5.0406254583880505
sort,wg256,wg1024,1.2441548291701083,6.653138042447976
sort,wg512,wg1024,1.391781309329666,8.712045535991987
