label,algo,size,median,mean,std,q25,q75,count,cv
GNU,find,8,26.924661654862952,26.920213172464727,0.022108127556815512,26.911950767552263,26.932924059775416,4,0.0008212463777749262
GNU,find,16,29.385737569446356,29.388560137492174,0.007483161897480841,29.384429546249542,29.38986816068899,4,0.00025462839494250244
GNU,find,32,34.667172440117156,34.668626599500385,0.029042576105116496,34.656382880505184,34.67941615911236,4,0.0008377192566819198
GNU,find,64,45.50830904955876,45.511955454453464,0.02162599906793816,45.50263581636176,45.517628687650465,4,0.00047517182797343415
GNU,find,128,68.96544012367605,68.97282167193694,0.023248877408574148,68.95646818529357,68.98179361031941,4,0.0003370730215903788
GNU,find,256,116.56518021462418,116.63212986015716,0.19089106998774882,116.52923788608055,116.66807218870079,4,0.0016366936813777533
GNU,find,512,212.32915280778133,212.66397827298152,0.7371881460563166,212.27496902874267,212.71816205202018,4,0.0034664457612564783
GNU,find,1024,404.8285580107539,404.82665668654704,0.22251754333269338,404.67837391842033,404.9768407788806,4,0.0005496612924503791
GNU,find,2048,797.4169885433747,797.2940402561251,1.757965803338777,796.0450317282493,798.6659970712503,4,0.0022049152691195873
GNU,find,4096,1621.6601533737735,1621.1881312429482,1.554252647583526,1620.7139291386663,1622.1343554780556,4,0.0009587120813621407
GNU,find,8192,3290.4541307903955,3289.8854080501123,1.8670311936490818,3289.088639974077,3291.250898866431,4,0.000567506451465024
GNU,find,16384,6970.826580948577,6972.220062037185,5.608220097104537,6969.469456673978,6973.577186311785,4,0.0008043664782815094
GNU,find,32768,14066.306357860018,14061.371304443643,10.924229779364996,14060.252680844167,14067.424981459493,4,0.0007768964735262162
GNU,find,65536,28383.710865936548,28385.59646622966,10.475933613380517,28377.374964377243,28391.932367788962,4,0.00036905807583940443
GNU,find,131072,57294.343024706584,57320.31264037918,166.30957799520962,57234.49754596102,57380.15811912475,4,0.0029014073778455486
GNU,find,262144,116441.11789915971,116448.21147058823,262.7281543037966,116283.29626050443,116606.03310924351,4,0.00225618024515692
GNU,find,524288,232160.1623728808,232092.123474576,577.8889949896209,231792.16915254184,232460.11669491493,4,0.0024899121363458265
GNU,find,1048576,465163.1422845691,465178.2302939211,1112.5215330915178,464314.29275217146,466027.0798263187,4,0.0023916027463034444
GNU,find,2097152,931547.3084832908,931438.6966580977,1608.6475128132024,930409.8496143961,932576.1555269924,4,0.001727056776344871
GNU,find,4194304,1889876.9576719564,1888326.327380952,4485.95591729305,1887074.9570105807,1891128.328042328,4,0.0023756253631833472
GNU,find,8388608,3902019.5714285728,3905094.3142857137,28740.02029171484,3881737.2914285725,3925376.594285714,4,0.007359622579812574
GNU,find,16777216,8459759.4375,8496834.71875,83541.33727344559,8450201.857954545,8506392.298295455,4,0.009832053939933017
GNU,find,33554432,19190291.136363633,19182973.511363633,42284.77960310815,19157982.284090903,19215282.363636363,4,0.0022042870245355573
GNU,find,67108864,37933063.86363636,38055492.69318182,433111.31878732814,37729259.20454545,38259297.35227273,4,0.011381046154867578
GNU,find,134217728,64351178.0,64385422.325,1293662.8450179214,63271476.599999994,65465123.725,4,0.020092480538340885
GNU,find,268435456,136846582.25,136847077.075,447540.30431890197,136645051.77500004,137048607.54999998,4,0.0032703680187018127
GNU,for_each,8,24.52618244046869,24.531055021397478,0.04286899139543965,24.498110813678366,24.559126648187807,4,0.0017475396536368577
GNU,for_each,16,35.57477293323187,35.59572799476466,0.06208263694695534,35.56182816771895,35.60867276027758,4,0.0017441035889499525
GNU,for_each,32,56.724142085484594,56.7318944123861,0.03278518265445347,56.71610948987114,56.739927007999555,4,0.000577896842579182
GNU,for_each,64,100.13483032413166,100.10977129683963,0.06622156747749038,100.09347852633145,100.15112309463983,4,0.000661489549118378
GNU,for_each,128,192.56036814112622,192.56156168320518,0.08973480083682718,192.51764655479658,192.6042832695348,4,0.0004660057804498667
GNU,for_each,256,366.0516514665492,366.054573633401,0.14269771549764176,365.9988496032615,366.1073754966887,4,0.0003898263422342913
GNU,for_each,512,712.7161560684151,712.8399030649267,0.7103958833388856,712.2777217524131,713.2783373809286,4,0.0009965714324976299
